,NAME,BIO_LINK,BIRTH-DEATH,POSITION,PARTY,STATE,SESSION,DEGREE,SCHOOL,GRAD_YEAR,SCHOOL_LOC
12539,"DOLD, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000613,1969- ,Representative,Republican,IL,114(2015-2016),B.A.,Denison University,1991," Granville, Ohio"
12540,"DOLD, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000613,1969- ,Representative,Republican,IL,114(2015-2016),J.D.,Indiana University,1996," Bloomington, Ind."
12541,"DOLD, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000613,1969- ,Representative,Republican,IL,114(2015-2016),M.B.A.,Northwestern University Kellogg School of Management,2000," Evanston, Ill."
12542,"DONNELLY, Joe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000607,1955- ,Senator,Democrat,IN,114(2015-2016),B.A.,University of Notre Dame,1977," Notre Dame, Ind."
12543,"DONNELLY, Joe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000607,1955- ,Senator,Democrat,IN,114(2015-2016),J.D.,University of Notre Dame,1981," Notre Dame, Ind."
12544,"DOYLE, Michael F.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000482,1953- ,Representative,Democrat,PA,114(2015-2016),B.S.,Pennsylvania State University,1975," University Park, Pa."
12545,"DUCKWORTH, Tammy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000622,1968- ,Representative,Democrat,IL,114(2015-2016),B.A.,University of Hawaii,1989," Manoa, Hawaii"
12546,"DUCKWORTH, Tammy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000622,1968- ,Representative,Democrat,IL,114(2015-2016),M.A.,The George Washington University,1992," Washington, D.C."
12547,"DUFFY, Sean",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000614,1971- ,Representative,Republican,WI,114(2015-2016),J.D.,William Mitchell College of Law,1999," St. Paul, Minn."
12548,"DUNCAN, Jeff",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000615,1966- ,Representative,Republican,SC,114(2015-2016),B.A.,Clemson University,1988," Clemson, S.C."
12549,"DUNCAN, John J., Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000533,1947- ,Representative,Republican,TN,114(2015-2016),B.S.,University of Tennessee,1969," Knoxville, Tenn."
12550,"DUNCAN, John J., Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000533,1947- ,Representative,Republican,TN,114(2015-2016),J.D.,National Law Center,1973," George Washington University, Washington, D.C."
12551,"EDWARDS, Donna F.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000290,1958- ,Representative,Democrat,MD,114(2015-2016),J.D.,Franklin Pierce Law Center,1989," Concord, N. H."
12552,"ELLISON, Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000288,1963- ,Representative,Democrat,MN,114(2015-2016),B.A.,Wayne State University,1986," Detroit, Mich."
12553,"ELLISON, Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000288,1963- ,Representative,Democrat,MN,114(2015-2016),J.D.,University of Minnesota,1990,None
12554,"ELLMERS, Renee",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000291,1964- ,Representative,Republican,NC,114(2015-2016),B.S.,Oakland University,1990," Rochester, Mich."
12555,"EMMER, Thomas Earl II",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000294,1961- ,Representative,Republican,MN,114(2015-2016),B.A.,University of Alaska,1984," Fairbanks, Alaska"
12556,"EMMER, Thomas Earl II",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000294,1961- ,Representative,Republican,MN,114(2015-2016),J.D.,Mitchell College of Law,1988," St. Paul, Minn."
12557,"ENGEL, Eliot Lance",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000179,1947- ,Representative,Democrat,NY,114(2015-2016),J.D.,New York Law School,1987," New York, N.Y."
12558,"ERNST, Joni",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000295,1970- ,Senator,Republican,IA,114(2015-2016),B.A.,Iowa State University,1992,None
12559,"ESHOO, Anna Georges",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000215,1942- ,Representative,Democrat,CA,114(2015-2016),A.A.,Canada College,1975," Redwood City, Calif."
12560,"ESTY, Elizabeth",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000293,1959- ,Representative,Democrat,CT,114(2015-2016),A.B.,Harvard University,1981," Cambridge, Mass."
12561,"ESTY, Elizabeth",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000293,1959- ,Representative,Democrat,CT,114(2015-2016),J.D.,Yale University,1985," New Haven, Conn."
12562,"FARENTHOLD, Blake",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000460,1961- ,Representative,Republican,TX,114(2015-2016),B.S.,University of Texas,1985," Austin, Tex."
12563,"FARR, Sam",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000030,1941- ,Representative,Democrat,CA,114(2015-2016),B.S.,Willamette University,1963," Salem, Oreg."
12564,"FITZPATRICK, Michael G.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000451,1963- ,Representative,Republican,PA,114(2015-2016),J.D.,Dickinson School of Law,1988," Carlisle, Pa."
12565,"FLEISCHMANN, Chuck",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000459,1962- ,Representative,Republican,TN,114(2015-2016),J.D.,University of Tennessee,1986," Knoxville, Tenn."
12566,"FLEMING, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000456,1951- ,Representative,Republican,LA,114(2015-2016),B.S.,University of Mississippi,1973," Oxford, Miss."
12567,"FLEMING, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000456,1951- ,Representative,Republican,LA,114(2015-2016),M.D.,University of Mississippi,1976," Jackson, Miss."
12568,"FLORES, Bill",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000461,1954- ,Representative,Republican,TX,114(2015-2016),M.B.A.,Houston Baptist University,1985," Houston, Tex."
12569,"FORBES, J. Randy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000445,1952- ,Representative,Republican,VA,114(2015-2016),J.D.,University of Virginia,1977," Charlottesville, Va."
12570,"FORTENBERRY, Jeff",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000449,1960- ,Representative,Republican,NE,114(2015-2016),B.A.,Louisiana State University,1982," Baton Rouge, La."
12571,"FORTENBERRY, Jeff",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000449,1960- ,Representative,Republican,NE,114(2015-2016),M.P.P.,Georgetown University,1986," Washington, D.C."
12572,"FORTENBERRY, Jeff",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000449,1960- ,Representative,Republican,NE,114(2015-2016),M.Th.,Franciscan University,1996," Steubenville, Ohio"
12573,"FOXX, Virginia Ann",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000450,1943- ,Representative,Republican,NC,114(2015-2016),A.B.,University of North Carolina,1968," Chapel Hill, N.C."
12574,"FOXX, Virginia Ann",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000450,1943- ,Representative,Republican,NC,114(2015-2016),M.A.C.T.,University of North Carolina,1972," Chapel Hill, N.C."
12575,"FOXX, Virginia Ann",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000450,1943- ,Representative,Republican,NC,114(2015-2016),Ed.D.,University of North Carolina,1985," Greensboro, N.C."
12576,"FRANKEL, Lois",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000462,1948- ,Representative,Democrat,FL,114(2015-2016),B.A.,Boston University,1970," Boston, Mass."
12577,"FRANKEL, Lois",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000462,1948- ,Representative,Democrat,FL,114(2015-2016),J.D.,Georgetown University,1973," Washington, D.C."
12578,"FRANKEN, Al",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000457,1951- ,Senator,Democrat,MN,114(2015-2016),A.B.,Harvard University,1973," Cambridge, Mass."
12579,"FRELINGHUYSEN, Rodney P.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000372,1946- ,Representative,Republican,NJ,114(2015-2016),B.A.,Hobart College,1969," Geneva, N.Y."
12580,"FUDGE, Marcia L.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000455,1952- ,Representative,Democrat,OH,114(2015-2016),B.S.,Ohio State University,1975," Columbus, Ohio"
12581,"FUDGE, Marcia L.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000455,1952- ,Representative,Democrat,OH,114(2015-2016),J.D.,Cleveland Marshall College of Law,1983," Cleveland State University, Cleveland, Ohio"
12582,"GABBARD, Tulsi",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000571,1981- ,Representative,Democrat,HI,114(2015-2016),B.S.B.A.,Hawaii Pacific University,2009," Honolulu, Hawaii"
12583,"GALLEGO, Ruben",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000574,1979- ,Representative,Democrat,AZ,114(2015-2016),A.B.,Harvard University,2004," Cambridge, Mass."
12584,"GARAMENDI, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000559,1945- ,Representative,Democrat,CA,114(2015-2016),B.A.,University of California,1966," Berkeley, Calif."
12585,"GARAMENDI, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000559,1945- ,Representative,Democrat,CA,114(2015-2016),M.B.A.,Harvard University,1970," Cambridge, Mass."
12586,"GARDNER, Cory",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000562,1974- ,Senator,Republican,CO,114(2015-2016),B.A.,Colorado State University,1997," Fort Collins, Colo."
12587,"GARDNER, Cory",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000562,1974- ,Senator,Republican,CO,114(2015-2016),J.D.,University of Colorado,2001," Boulder, Colo."
12588,"GARRETT, Scott",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000548,1959- ,Representative,Republican,NJ,114(2015-2016),B.A.,Montclair State University,1981," Montclair, N.J."
12589,"GARRETT, Scott",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000548,1959- ,Representative,Republican,NJ,114(2015-2016),J.D.,Rutgers University Law School,1984," Camden, N.J."
12590,"GIBBS, Bob",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000563,1954- ,Representative,Republican,OH,114(2015-2016),A.A.S.,Ohio State University Agricultural Technical Institute,1974," Wooster, Ohio"
12591,"GIBSON, Christopher",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000564,1964- ,Representative,Republican,NY,114(2015-2016),B.A.,Siena College,1986," Loudonville, N.Y."
12592,"GIBSON, Christopher",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000564,1964- ,Representative,Republican,NY,114(2015-2016),M.P.A.,Cornell University,1995," Ithaca, N.Y."
12593,"GIBSON, Christopher",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000564,1964- ,Representative,Republican,NY,114(2015-2016),Ph.D.,Cornell University,1998," Ithaca, N.Y."
12594,"GILLIBRAND, Kirsten",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000555,1966- ,Senator,Democrat,NY,114(2015-2016),A.B.,Dartmouth College,1988," Hanover, N.H."
12595,"GILLIBRAND, Kirsten",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000555,1966- ,Senator,Democrat,NY,114(2015-2016),J.D.,University of California Los Angeles,1991," Los Angeles, Calif."
12596,"GOHMERT, Louie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000552,1953- ,Representative,Republican,TX,114(2015-2016),J.D.,Baylor University,1977," Waco, Tex."
12597,"GOODLATTE, Robert William",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000289,1952- ,Representative,Republican,VA,114(2015-2016),B.A.,Bates College,1974," Lewiston, Maine"
12598,"GOODLATTE, Robert William",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000289,1952- ,Representative,Republican,VA,114(2015-2016),J.D.,Washington and Lee University,1977," Lexington, Va."
12599,"GOSAR, Paul",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000565,1958- ,Representative,Republican,AZ,114(2015-2016),B.S.,Creighton University,1981," Omaha, Nebr."
12600,"GOSAR, Paul",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000565,1958- ,Representative,Republican,AZ,114(2015-2016),D.D.S.,Creighton University,1985," Omaha, Nebr."
12601,"GOWDY, Trey",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000566,1964- ,Representative,Republican,SC,114(2015-2016),B.A.,Baylor University,1986," Waco, Texas"
